Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-013926,2018-03,03/29/2018 07:30,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,5353,PATTON AVE,50, , ,5353,PATTON,886442.4,1032398
18-013875,2018-03,03/29/2018 09:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,3800,EVANS AVE,77, , , , ,897174,1025117
18-013921,2018-03,03/29/2018 12:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,800,N 13TH ST,36, , ,800,13TH,906781.9,1019635
18-013982,2018-03,03/29/2018 15:40,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,1523,S 10TH ST,34, , ,1523,10TH,905150.7,1012045
18-014183,2018-03,03/31/2018 08:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N 4TH ST / LUCAS AVE,35, , , , ,909647.8,1018654
18-014397,2018-03,03/31/2018 17:30,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,275,UNION BLVD,47, , ,275,UNION,884536.7,1024563
18-011437,2018-03,11/04/2017 08:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,5840,PAMPLIN AVE,73, , ,5840,PAMPLIN,891305.3,1047710
18-009073,2018-03,02/24/2018 17:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE ST,35, , ,604,PINE,908422.1,1017299
18-009587,2018-03,03/01/2018 22:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6604,WINNEBAGO ST,9, , ,6604,WINNEBAGO,876043.9,1005242
18-009710,2018-03,03/03/2018 00:01,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 18TH ST / OLIVE ST,36, , , , ,904274.2,1018933
18-009865,2018-03,03/03/2018 19:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,915,N 9TH ST,35, , , , ,908132.8,1019896
18-009931,2018-03,03/03/2018 20:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4054,CHOUTEAU AVE,39,REHAB BAR, ,4054,CHOUTEAU,891651.4,1017489
18-010043,2018-03,03/04/2018 11:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1412,DR MARTIN LUTHER KING DR,36, , ,1412,DR MARTIN LUTHER KING,906237.3,1020042
18-010103,2018-03,03/05/2018 07:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,500,PINE ST,35, , , , ,908732.9,1017197
18-010294,2018-03,03/06/2018 23:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4146,DETONTY ST,27, , ,4146,DETONTY,891002.9,1013636
18-010300,2018-03,03/07/2018 00:02,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3418,S COMPTON AVE,19, , ,3418,COMPTON,895469.5,1005264
18-010633,2018-03,03/09/2018 07:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5055,ARSENAL ST,13, ,@SCHNUCKS - ARSENAL,5055,ARSENAL,884765.6,1009623
18-010659,2018-03,03/09/2018 12:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,201,S 20TH ST,36,UNION STATION DRURY INN, ,201,20TH,902918.5,1017646
18-011421,2018-03,03/10/2018 20:45,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE ST,35, , ,604,PINE,908422.1,1017299
18-010940,2018-03,03/10/2018 22:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4126,CASTLEMAN AVE,27, , ,4126,CASTLEMAN,891129.2,1012920
18-010956,2018-03,03/10/2018 23:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3867,WYOMING ST,15, , ,3867,WYOMING,891907.8,1007415
18-010946,2018-03,03/11/2018 00:01,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2850,LAFAYETTE AVE,31, , ,2850,LAFAYETTE,898035.8,1013005
18-010994,2018-03,03/11/2018 01:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4340,DE TONTY ST,27, , ,4340,DE TONTY,889917,1013871
18-010935,2018-03,03/11/2018 04:45,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2801,VICTOR ST,24, , ,2801,VICTOR,898122.6,1010179
18-010995,2018-03,03/11/2018 11:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 16TH ST / DELMAR BLVD,36, , , , ,905555.1,1019971
18-011105,2018-03,03/11/2018 15:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE ST,35,KIENER WEST PARKING GARAGE, ,604,PINE,908422.1,1017299
18-011245,2018-03,03/12/2018 20:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1926,SIDNEY ST,22, , ,1926,SIDNEY,901236.3,1008548
18-011374,2018-03,03/13/2018 09:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 7TH ST / PINE ST,35, , , , ,908335.3,1017522
18-011686,2018-03,03/13/2018 20:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 7TH ST / PINE ST,35, , , , ,908335.3,1017522
18-011491,2018-03,03/14/2018 10:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,S 13TH ST / VICTOR ST,21, , , , ,902325.8,1008795
18-011709,2018-03,03/14/2018 15:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 6TH ST / PINE ST,35,KIENER PLAZA GARAGE, , , ,908649,1017426
18-011943,2018-03,03/16/2018 09:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,111,N 7TH ST,35,WAINWRIGHT BUILDING, ,111,7TH,908113.4,1017396
18-011906,2018-03,03/16/2018 21:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE ST,35,KIENER PLAZA WEST PARKING, , , ,908422.1,1017299
18-012483,2018-03,03/16/2018 23:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1000,SPRUCE ST,35, , ,1000,SPRUCE,906666.7,1015976
18-012369,2018-03,03/19/2018 09:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 7TH ST / PINE ST,35, , ,515,OLIVE,908335.3,1017522
18-012354,2018-03,03/19/2018 17:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N BROADWAY / CHESTNUT ST,35,KIENER EAST GARAGE, , , ,908861.5,1017013
18-012366,2018-03,03/19/2018 19:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,831,S 21ST ST,36,US PAINT, ,831,21ST,902209.1,1015753
18-012664,2018-03,03/21/2018 09:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE,35, , ,111,7TH,908113.4,1017396
18-012683,2018-03,03/21/2018 18:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,604,PINE ST,35,KIENER WEST GARAGE, , , ,908422.1,1017299
18-012805,2018-03,03/22/2018 18:00,Y, , ,1, , 64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,7859,COSTA PL,1, , ,7859,COSTA,886296.4,989353
18-013047,2018-03,03/23/2018 22:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6662,BANCROFT AVE,9, , ,6662,BANCROFT,875420,1004677
18-013020,2018-03,03/23/2018 23:45,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3946,JAMIESON AVE,9, , ,3946,JAMIESON,874826.4,1005134
18-013000,2018-03,03/24/2018 00:01,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N 6TH ST / PINE ST,35, , , , ,908649,1017426
18-013173,2018-03,03/24/2018 08:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,500,PINE ST,35,KIENER EAST GARAGE 2ND3RD LEVEL, , , ,908732.9,1017197
18-013290,2018-03,03/25/2018 20:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,215,S 8TH ST,35,STADIUM WEST PARKING GARAGE, , , ,907749.7,1016742
18-013891,2018-03,03/25/2018 22:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,500,PINE ST,35,KIENER PLAZA EAST, , , ,908732.9,1017197
18-013394,2018-03,03/26/2018 05:45,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2730,DELMAR BLVD,37, , ,2730,DELMAR,901204.4,1021025
18-013581,2018-03,03/26/2018 08:45,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,N BROADWAY / PINE ST,35, , , , ,908981,1017323
18-013676,2018-03,03/28/2018 06:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,905,MCKINLEY DR,82, , ,904,MCKINLEY,882895.3,1019471
18-013816,2018-03,03/28/2018 20:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2945,MILTON BLVD,26, , ,2948,MILTON,897164.7,1010984
18-013863,2018-03,03/28/2018 20:30,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5933,KINGSBURY AVE,46, , ,5933,KINGSBURY,879267.3,1026438
18-013988,2018-03,03/29/2018 17:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,100,S 9TH ST,35, , ,100,9TH,907539.4,1016259
18-013981,2018-03,03/30/2018 00:20,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4139,PENNSYLVANIA AVE,16, , ,4139,PENNSYLVANIA,895509.4,1000359
18-013968,2018-03,03/30/2018 02:10,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,S 8TH ST / WALNUT ST,35, , , , ,907749.7,1016742
18-014220,2018-03,03/30/2018 21:30,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5696,KINGSBURY AVE,47, , ,5696,KINGSBURY,881661.2,1026094
18-014177,2018-03,03/31/2018 08:45,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,711,N LEONOR K SULLIVAN BLVD,35, , , , ,910922.8,1018475
18-009734,2018-03,12/20/2017 10:17,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3100,ARSENAL ST,25, , ,3100,ARSENAL,896360.1,1007824
18-011617,2018-03,03/02/2018 13:30,Y, , ,1, , 65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",1,IKEA WAY,38, ,@IKEA,1,IKEA,893712,1020107
18-009837,2018-03,03/03/2018 20:00,Y, , ,1, , 65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",4221,W EVANS AVE,58, , ,4221,EVANS,893998.4,1027032
18-009863,2018-03,03/03/2018 22:00,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",5322,MICHIGAN AVE,1, , ,5318,MICHIGAN,893725,994699.9
18-010783,2018-03,03/09/2018 18:00,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",3308,RUSSELL AVE,26, , ,3308,RUSSELL,896020.4,1011863
18-011302,2018-03,03/12/2018 16:00,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",3605,WISCONSIN AVE,18, , , , ,899865.9,1003578
18-011470,2018-03,03/13/2018 13:30,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",4229,ELLENWOOD AVE,5, , ,4229,ELLENWOOD,887681.2,1001998
18-011405,2018-03,03/13/2018 21:00,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",4709,GOETHE AVE,4, , ,4709,GOETHE,883491.9,998209.4
18-011427,2018-03,03/14/2018 08:00,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",3863,S SPRING AVE,16, , ,3863,SPRING,892136.8,1002911
18-011822,2018-03,03/16/2018 16:00,Y, , ,1, , 65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999",8630,HALL ST,79, , ,8630,HALL,898959.2,1052282
18-011957,2018-03,03/17/2018 14:55,Y, , ,1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",1908,N 9TH ST,64,NINTH STREET TOWING AND STORAGE, ,1908,9TH,909318,1023977
18-012282,2018-03,03/17/2018 16:30,Y, , ,1, , 65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",3538,S KINGSHIGHWAY BLVD,15, , ,3538,KINGSHIGHWAY,885684.2,1005408
18-012199,2018-03,03/18/2018 21:30,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",3728,PRIMM ST,4, , ,3728,PRIMM,885005.9,990441.6
18-012435,2018-03,03/20/2018 01:45,Y, , ,1, , 65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",6369,MANCHESTER AVE,42, , ,6369,MANCHESTER,879094.6,1015261
18-012393,2018-03,03/20/2018 06:00,Y, , ,1, , 65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999",4640,STEINLAGE DR,69, , ,4640,STEINLAGE,896503.8,1037131
18-012688,2018-03,03/21/2018 22:30,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",3817,PRIMM ST,4, , ,3817,PRIMM,885005.9,990441.6
18-013113,2018-03,03/24/2018 21:07,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",700,SOULARD ST,21, , , , ,905469.7,1010599
18-013296,2018-03,03/25/2018 20:00,Y, , ,1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",2334,ST LOUIS AVE,60, , ,2334,ST LOUIS,903449.6,1026410
18-010453,2018-03,01/01/2018 08:12,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5434,EMERSON AVE,71, , ,5434,EMERSON,893676.8,1042380
18-012451,2018-03,01/03/2018 12:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3440,KEOKUK ST,16, , ,3440,KEOKUK,893793.1,1002312
18-011023,2018-03,02/09/2018 13:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7410,HALL ST,79,ST LOUIS CITY TOW, ,7410,HALL,899571.8,1044964
18-013986,2018-03,02/15/2018 12:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1128,LUCAS AVE,35, , ,1128,LUCAS,907267.1,1019142
18-007967,2018-03,02/15/2018 15:00, , , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5370,PERSHING,47, , ,5370,PERSHING,0,0
18-010153,2018-03,02/16/2018 10:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4386,GIBSON AVE,39, , ,4386,GIBSON,889492.6,1017804
18-010392,2018-03,02/16/2018 14:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3453,POTOMAC ST,19, , ,3453,POTOMAC,894091.8,1005120
18-010681,2018-03,02/21/2018 08:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6000,S GRAND BLVD,1, , ,6000,GRAND,889810.2,994916.4
18-011476,2018-03,02/22/2018 17:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2727,DELMAR BLVD,59, , ,2727,DELMAR,901321.9,1021201
18-009987,2018-03,02/23/2018 07:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1038,GEYER AVE,21, , ,1038,GEYER,903846.9,1010689
18-009656,2018-03,02/27/2018 14:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4130,NATURAL BRIDGE AVE,56, , ,3810,ASHLAND,897889.8,1031319
18-010784,2018-03,02/28/2018 07:15,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,2727,WATSON RD,11,BENCHMARK AUTO REPAIR, ,2727,WATSON,880397,1011063
18-010415,2018-03,02/28/2018 12:35,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3720,LACLEDE AVE,37, , ,3720,LACLEDE,894906.8,1020188
18-010303,2018-03,02/28/2018 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,1404,UNION BLVD,51,UNION RIDGE AUTOMOTIVE, ,1404,UNION,885972.8,1030497
18-009517,2018-03,02/28/2018 19:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6441,HANCOCK AVE,9, , ,6441,HANCOCK,877719.8,1007780
18-010221,2018-03,03/02/2017 17:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3505,N 11TH ST,65, , ,3505,11TH,906644.8,1029344
18-009637,2018-03,03/02/2018 08:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4568,GRAVOIS AVE,5, , ,4568,GRAVOIS,887894.7,1001699
18-010165,2018-03,03/02/2018 09:40,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4655,ELMBANK AVE,56, , ,4655,ELMBANK,893022,1032919
18-009792,2018-03,03/02/2018 12:30,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,1263,AMHERST PL,48, , ,1263,AMHERST,880386,1032369
18-009800,2018-03,03/02/2018 17:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2857,SIDNEY ST,25, , ,2857,SIDNEY,897511.9,1009938
18-010062,2018-03,03/03/2018 06:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4965,POTOMAC ST,14, , ,4965,POTOMAC,884864.1,1006514
18-009787,2018-03,03/03/2018 09:30,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1430,WASHINGTON AVE,36, , ,3625,HYDRAULIC,905654.1,1019217
18-009784,2018-03,03/03/2018 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6601,PENNSYLVANIA AVE,1, , ,6601,PENNSYLVANIA,891411.1,991179.7
18-009799,2018-03,03/03/2018 11:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N KINGSHIGHWAY BLVD / PAGE BLV,53, , , , ,888176.6,1029215
18-009775,2018-03,03/03/2018 11:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3150,S GRAND BLVD,25, , ,3150,GRAND,893905,1007810
18-009832,2018-03,03/03/2018 15:15,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3631,VIRGINIA AVE,19, , ,3631,VIRGINIA,894733.8,1003922
18-009881,2018-03,03/03/2018 16:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,2107,S GRAND BLVD,27,SAUM APARTMENTS, ,700,ROSEDALE,894367.7,1012217
18-009956,2018-03,03/03/2018 16:00,Y, , ,1, , 65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0, , ,7000,NOTTINGHAM,0,0
18-009912,2018-03,03/03/2018 18:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1402,DR MARTIN LUTHER KING DR,36, , ,701,15TH,906379.9,1020014
18-009879,2018-03,03/04/2018 09:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3150,S GRAND BLVD,25,ROOSTER PARKING LOT, ,1200,CLARK,893905,1007810
18-009893,2018-03,03/04/2018 09:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4053,PENNSYLVANIA AVE,16, , ,4053,PENNSYLVANIA,895633.4,1000874
18-010212,2018-03,03/04/2018 16:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3014,N 25TH ST,60, , ,3014,25TH,903461.9,1027231
18-010046,2018-03,03/04/2018 18:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5936,ETZEL AVE,48, , ,5936,ETZEL,880047.8,1030899
18-010834,2018-03,03/05/2018 08:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5311,WELLS AVE,78, , ,5311,WELLS,886134.2,1031035
18-010214,2018-03,03/05/2018 10:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2614,ALHAMBRA CT,25, , ,2614,ALHAMBRA,894572.8,1010112
18-010061,2018-03,03/05/2018 13:45,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3114,S GRAND BLVD,25, ,@BREAD COMPANY- GRAND,3115,GRAND,893907.5,1008295
18-010119,2018-03,03/05/2018 16:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4144,FINNEY AVE,58, , ,4144,FINNEY,894023.4,1025378
18-010235,2018-03,03/05/2018 16:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4050,WEST PINE BLVD,38, , ,4050,WEST PINE,892888.1,1021231
18-010137,2018-03,03/05/2018 19:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
18-010139,2018-03,03/05/2018 20:45,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3844,IOWA AVE,16, , ,3844,IOWA,897302.3,1002045
18-010145,2018-03,03/06/2018 02:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5400,QUEENS AVE,71, , ,5400,QUEENS,894585.6,1040493
18-010341,2018-03,03/06/2018 18:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3009,MOUNT PLEASANT ST,17, , ,3009,MOUNT PLEASANT,895036.1,997629.7
18-010329,2018-03,03/06/2018 18:15,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6722,DOLAN PL,44, , , , ,876856.8,1018129
18-010296,2018-03,03/06/2018 23:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4623,STEINLAGE DR,69, , ,4623,STEINLAGE,896605.3,1037096
18-010555,2018-03,03/07/2018 06:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,3350,GOODFELLOW BLVD,50, , ,3350,GOODFELLOW,885370.4,1037740
18-010497,2018-03,03/07/2018 08:30,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3115,S GRAND BLVD,15, , ,3115,GRAND,893735.6,1008249
18-010361,2018-03,03/07/2018 08:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,LASALLE ST / S THERESA AVE,31, , , , ,896160.6,1016483
18-011775,2018-03,03/07/2018 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,5440,GRAVOIS AVE,5, , ,5440,GRAVOIS,885838.6,999523.4
18-010540,2018-03,03/08/2018 07:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2232,OREGON AVE,24, , ,2000,OREGON,898021.1,1010724
18-010625,2018-03,03/08/2018 08:30,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3611,MORGANFORD RD,15, , ,3611,MORGANFORD,887864.1,1004742
18-010479,2018-03,03/08/2018 10:30,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,1027,S VANDEVENTER AVE,28,BRIDGEWAY COUNSELING SERVICE, ,1027,VANDEVENTER,891979.5,1017433
18-010826,2018-03,03/08/2018 17:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N EUCLID AVE / LINDELL BLVD,38, , , , ,888281.1,1023181
18-010619,2018-03,03/08/2018 19:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2925,N FLORISSANT AVE,60, , ,2925,FLORISSANT,905491.6,1026602
18-010613,2018-03,03/08/2018 22:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4732,OLIVE ST,38, , ,4732,OLIVE,889028.2,1025467
18-011090,2018-03,03/09/2018 07:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,1375,S KINGSHIGHWAY BLVD,12,FAIR AUTO REPAIR, ,6741,MANCHESTER,886778.3,1015563
18-011800,2018-03,03/09/2018 08:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3664,MONTANA ST,16, , ,3664,MONTANA,892502.4,1001319
18-010629,2018-03,03/09/2018 10:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5547,DR MARTIN LUTHER KING DR,50, , ,5547,DR MARTIN LUTHER KING,884584.1,1032798
18-010943,2018-03,03/09/2018 14:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,ANGELICA ST / N BROADWAY,64, ,TRUCK LOT, , ,906305.7,1032005
18-010704,2018-03,03/09/2018 15:30,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,1917,BELLE GLADE AVE,57, , ,4052,GILES,895613,1027935
18-010798,2018-03,03/09/2018 16:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5256,THRUSH AVE,72, , ,5256,THRUSH,891790,1043031
18-011486,2018-03,03/09/2018 22:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,SAINT LOUIS AVE / N VANDEVENTE,59, , ,1915,OLIVE,898253.1,1028621
18-010841,2018-03,03/10/2018 06:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3150,S GRAND BLVD,25,ROOSTER, ,3150,GRAND,893905,1007810
18-010872,2018-03,03/10/2018 08:15,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,S GRAND BLVD / HARTFORD ST,25, , , , ,893884.9,1008098
18-012416,2018-03,03/10/2018 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,7432,MORGANFORD RD,4, , ,7432,MORGANFORD,882736.3,993220.1
18-010819,2018-03,03/10/2018 11:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,S 9TH ST / SOULARD PL,21, , ,5049,LINDENWOOD,905369.3,1011591
